,tragedy_id,tragedy_title,id,betweenness,degree,closeness,weightedDegree,eigenvector,numOfScenes,numOfSpeechActs,numOfWords,degree_rank,closeness_rank,betweenness_rank,weightedDegree_rank,eigenvector_rank,numOfScenes_rank,numOfSpeechActs_rank,numOfWords_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank
0,greek000020,Suppliant Women,choros,0.5714285714285714,7,1.0,18,0.5096773064173111,16,125,2373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,greek000020,Suppliant Women,danaos,0.0,3,0.6363636363636364,11,0.21960684681262463,7,20,899,6.0,6.0,2.0,2.0,6.0,2.0,3.0,3.0,3.75,1.9086270308410553,2.0,3.0
2,greek000020,Suppliant Women,basileus,0.0,3,0.6363636363636364,8,0.21960684681262463,4,57,1233,6.0,6.0,2.0,3.0,6.0,3.0,2.0,2.0,3.75,1.9086270308410553,2.0,3.0
3,greek000020,Suppliant Women,keryx,0.0,3,0.6363636363636364,5,0.21960684681262463,3,18,240,6.0,6.0,2.0,4.0,6.0,4.0,4.0,4.0,4.5,1.4142135623730951,8.0,2.0
4,greek000020,Suppliant Women,choros_danaidon,0.0,4,0.7,4,0.38585863403008214,1,2,62,2.0,2.0,2.0,5.0,2.0,5.0,7.0,6.0,3.875,2.100170061141308,6.0,7.0
5,greek000020,Suppliant Women,choros_therapainon,0.0,4,0.7,4,0.38585863403008214,1,2,83,2.0,2.0,2.0,5.0,2.0,5.0,7.0,5.0,3.75,1.9820624179302297,2.0,5.0
6,greek000020,Suppliant Women,danais,0.0,4,0.7,4,0.38585863403008214,1,4,24,2.0,2.0,2.0,5.0,2.0,5.0,5.0,7.0,3.75,1.9820624179302297,2.0,5.0
7,greek000020,Suppliant Women,therapaina,0.0,4,0.7,4,0.38585863403008214,1,4,20,2.0,2.0,2.0,5.0,2.0,5.0,5.0,8.0,3.875,2.2320714274285347,6.0,8.0
8,greek000005,Seven Against Thebes,eteokles,0.0,4,0.7,13,0.313793549762071,9,35,1540,5.0,5.0,5.0,2.0,6.0,2.0,2.0,2.0,3.625,1.7677669529663689,2.0,6.0
9,greek000005,Seven Against Thebes,angelos,0.0,4,0.7,10,0.313793549762071,5,13,1041,5.0,5.0,5.0,3.0,6.0,3.0,5.0,3.0,4.375,1.1877349391654208,6.0,4.0
10,greek000005,Seven Against Thebes,choros,0.23015873015873012,7,1.0,17,0.44779903149749306,14,75,2039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
11,greek000005,Seven Against Thebes,hemichorion_a,0.06349206349206349,6,0.875,7,0.42248790764827077,2,2,48,2.0,2.0,3.0,4.0,2.0,5.0,7.0,8.0,4.125,2.356601669474803,5.0,8.0
12,greek000005,Seven Against Thebes,hemichorion_b,0.06349206349206349,6,0.875,7,0.42248790764827077,2,2,49,2.0,2.0,3.0,4.0,2.0,5.0,7.0,7.0,4.0,2.138089935299395,4.0,7.0
13,greek000005,Seven Against Thebes,antigone,0.07142857142857142,5,0.7777777777777778,7,0.3452494351549582,3,32,195,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.625,0.7440238091428449,2.0,2.0
14,greek000005,Seven Against Thebes,ismene,0.0,2,0.5833333333333334,3,0.15489830183489317,2,25,79,8.0,8.0,5.0,8.0,8.0,5.0,4.0,6.0,6.5,1.6903085094570331,8.0,5.0
15,greek000005,Seven Against Thebes,keryx,0.0,4,0.7,4,0.31993831130573586,1,7,158,5.0,5.0,5.0,7.0,5.0,8.0,6.0,5.0,5.75,1.164964745021435,7.0,3.0
16,greek000011,Prometheus Bound,kratos,0.0,2,0.6,2,0.25500814626483614,1,17,278,3.0,3.0,3.0,4.0,6.0,4.0,4.0,6.0,4.125,1.246423454758225,6.0,5.0
17,greek000011,Prometheus Bound,hephaistos,0.0,2,0.6,2,0.25500814626483614,1,16,225,3.0,3.0,3.0,4.0,6.0,4.0,5.0,7.0,4.375,1.5059406173077154,7.0,7.0
18,greek000011,Prometheus Bound,prometheus,0.6333333333333333,6,1.0,11,0.5867821202117671,7,84,3050,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.125,0.3535533905932738,1.0,2.0
19,greek000011,Prometheus Bound,choros,0.1,4,0.75,8,0.4682019484100018,8,46,979,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.875,0.3535533905932738,2.0,2.0
20,greek000011,Prometheus Bound,okeanos,0.0,2,0.6,2,0.31959107704586337,1,10,311,3.0,3.0,3.0,4.0,3.0,4.0,7.0,5.0,4.0,1.4142135623730951,5.0,6.0
21,greek000011,Prometheus Bound,io,0.0,2,0.6,3,0.31959107704586337,3,28,709,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0
22,greek000011,Prometheus Bound,hermes,0.0,2,0.6,2,0.31959107704586337,1,16,395,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.625,0.7440238091428449,4.0,4.0
23,greek000022,Persians,choros,0.5833333333333333,4,1.0,11,0.5825392535755105,13,99,1915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
24,greek000022,Persians,atossa,0.08333333333333333,3,0.8,7,0.5236826290621273,4,36,1095,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.25,0.4629100498862757,2.0,2.0
25,greek000022,Persians,angelos,0.0,2,0.6666666666666666,5,0.4119170973700677,3,15,1164,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.125,0.8345229603962802,3.0,4.0
26,greek000022,Persians,eidolon_dareiou,0.0,2,0.6666666666666666,3,0.4119170973700677,3,21,778,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.375,0.5175491695067657,4.0,3.0
27,greek000022,Persians,xerxes,0.0,1,0.5714285714285714,2,0.21691733875073668,2,38,270,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,4.375,1.1877349391654208,5.0,5.0
28,greek000008,Libation Bearers,orestes,0.14285714285714285,7,1.0,16,0.4147315391322487,7,58,1845,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.375,0.5175491695067657,2.0,2.0
29,greek000008,Libation Bearers,choros,0.14285714285714285,7,1.0,16,0.4147315391322487,10,94,1970,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
30,greek000008,Libation Bearers,elektra,0.0,2,0.5833333333333334,6,0.14748578400760307,3,41,958,8.0,8.0,5.0,5.0,8.0,3.0,3.0,3.0,5.375,2.326094212561969,5.0,8.0
31,greek000008,Libation Bearers,oiketes,0.023809523809523808,6,0.875,9,0.3924660668150851,2,3,70,3.0,3.0,3.0,3.0,3.0,4.0,6.0,7.0,4.0,1.6035674514745464,4.0,7.0
32,greek000008,Libation Bearers,klytaimestra,0.023809523809523808,6,0.875,9,0.3924660668150851,2,18,282,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.375,0.5175491695067657,3.0,2.0
33,greek000008,Libation Bearers,trophos,0.0,4,0.7,4,0.2870528362634474,1,7,233,7.0,7.0,5.0,8.0,7.0,6.0,5.0,5.0,6.25,1.164964745021435,8.0,5.0
