
ID	Rank	Title	Name	Centrality Average
0	0	Suppliant Women	choros	1.0
10	1	Seven Against Thebes	choros	1.0
44	2	Agamemnon	choros	1.0
40	3	Eumenides	choros	1.0
29	4	Libation Bearers	choros	1.0
23	5	Persians	choros	1.0
197	6	Oedipus Tyrannus	oidipous	1.1
163	7	Electra	elektra	1.1
154	8	Hecuba	hekabe	1.1
218	9	Ichneutae	choros	1.1
221	10	Ichneutae	kyllene	1.1
224	11	Electra	elektra	1.1
71	12	Rhesus	choros	1.1
242	13	Ajax	choros	1.1
52	14	The Trojan Women	hekabe	1.1
18	15	Prometheus Bound	prometheus	1.2
192	16	Philoctetes	neoptolemos	1.2
231	17	Antigone	choros	1.3
206	18	Oedipus at Colonus	oidipous	1.3
115	19	Iphigenia in Aulis	agamemnon	1.4
62	20	Suppliants	choros	1.4
171	21	Bacchae	choros	1.5
182	22	Trachiniae	choros	1.5
28	23	Libation Bearers	orestes	1.5
155	24	Hecuba	choros	1.6
55	25	The Trojan Women	choros	1.6
128	26	Ion	kreousa	1.6
107	27	Iphigenia in Tauris	iphigeneia	1.7
134	28	Heracles	amphitryon	1.7
209	29	Oedipus at Colonus	choros	1.7
72	30	Rhesus	hektor	1.8
225	31	Electra	choros	1.8
143	32	Helen	helene	1.8
136	33	Heracles	choros	1.8
232	34	Antigone	kreon	1.8
170	35	Bacchae	dionysos	1.8
200	36	Oedipus Tyrannus	choros	1.8
127	37	Ion	choros	1.8
194	38	Philoctetes	philoktetes	1.8
216	39	Ichneutae	silenos	1.8
110	40	Iphigenia in Tauris	choros	1.9
64	41	Suppliants	adrastos	1.9
19	42	Prometheus Bound	choros	1.9
98	43	Orestes	orestes	1.9
45	44	Agamemnon	klytaimestra	2.1
241	45	Ajax	aias	2.2
24	46	Persians	atossa	2.2
145	47	Helen	choros	2.2
243	48	Ajax	tekmessa	2.2
165	49	Electra	choros	2.2
215	50	Ichneutae	apollon	2.2
97	51	Orestes	choros	2.3
126	52	Ion	ion	2.3
37	53	Eumenides	apollon	2.4
193	54	Philoctetes	choros	2.4
179	55	Trachiniae	deianeira	2.5
38	56	Eumenides	orestes	2.5
87	57	Phoenissae	choros	2.5
219	58	Ichneutae	hemichoros_a	2.6
63	59	Suppliants	theseus	2.6
95	60	Orestes	elektra	2.6
207	61	Oedipus at Colonus	antigone	2.6
138	62	Heracles	herakles	2.6
90	63	Phoenissae	kreon	2.7
121	64	Iphigenia in Aulis	klytaimestra	2.7
223	65	Electra	orestes	2.7
174	66	Bacchae	pentheus	2.7
117	67	Iphigenia in Aulis	choros	2.7
164	68	Electra	orestes	2.7
21	69	Prometheus Bound	io	2.8
229	70	Antigone	antigone	2.8
86	71	Phoenissae	antigone	2.8
56	72	The Trojan Women	talthybios	2.9
220	73	Ichneutae	hemichoros_b	3.0
48	74	Agamemnon	kasandra	3.0
181	75	Trachiniae	hyllos	3.1
108	76	Iphigenia in Tauris	orestes	3.1
160	77	Hecuba	agamemnon	3.1
25	78	Persians	angelos	3.2
32	79	Libation Bearers	klytaimestra	3.2
13	80	Seven Against Thebes	antigone	3.3
202	81	Oedipus Tyrannus	iokaste	3.3
146	82	Helen	meneleos	3.4
112	83	Iphigenia in Tauris	thoas	3.4
217	84	Ichneutae	choros_satyron	3.4
26	85	Persians	eidolon_dareiou	3.4
1	86	Suppliant Women	danaos	3.5
199	87	Oedipus Tyrannus	kreon	3.5
2	88	Suppliant Women	basileus	3.5
84	89	Phoenissae	iokaste	3.5
135	90	Heracles	megara	3.6
58	91	The Trojan Women	andromache	3.6
211	92	Oedipus at Colonus	theseus	3.6
47	93	Agamemnon	agamemnon	3.7
191	94	Philoctetes	odysseus	3.7
148	95	Helen	angelos	3.7
22	96	Prometheus Bound	hermes	3.7
6	97	Suppliant Women	danais	3.7
8	98	Seven Against Thebes	eteokles	3.7
5	99	Suppliant Women	choros_therapainon	3.7
233	100	Antigone	phylax	3.8
99	101	Orestes	menelaos	3.8
150	102	Helen	theoklymenos	3.9
101	103	Orestes	pylades	3.9
80	104	Rhesus	athena	3.9
122	105	Iphigenia in Aulis	iphigeneia	4.0
161	106	Hecuba	polymestor	4.0
173	107	Bacchae	kadmos	4.2
78	108	Rhesus	odysseus	4.2
162	109	Electra	autourgos	4.2
222	110	Electra	paidagogos	4.2
20	111	Prometheus Bound	okeanos	4.3
31	112	Libation Bearers	oiketes	4.3
41	113	Eumenides	athena	4.3
12	114	Seven Against Thebes	hemichorion_b	4.3
4	115	Suppliant Women	choros_danaidon	4.4
39	116	Eumenides	klytaimestras_eidolon	4.4
16	117	Prometheus Bound	kratos	4.4
156	118	Hecuba	polyxene	4.4
131	119	Ion	therapon	4.4
240	120	Ajax	odysseus	4.4
166	121	Electra	presbys	4.5
168	122	Electra	klytaimestra	4.5
227	123	Electra	klytaimnestra	4.5
109	124	Iphigenia in Tauris	pylades	4.5
27	125	Persians	xerxes	4.5
46	126	Agamemnon	keryx	4.5
9	127	Seven Against Thebes	angelos	4.5
7	128	Suppliant Women	therapaina	4.5
230	129	Antigone	ismene	4.5
247	130	Ajax	teukros	4.6
11	131	Seven Against Thebes	hemichorion_a	4.6
3	132	Suppliant Women	keryx	4.6
65	133	Suppliants	keryx	4.7
36	134	Eumenides	pythias	4.7
57	135	The Trojan Women	kasandra	4.7
61	136	Suppliants	aithra	4.7
123	137	Iphigenia in Aulis	achilleus	4.7
196	138	Philoctetes	herakles	4.8
79	139	Rhesus	diomedes	4.9
17	140	Prometheus Bound	hephaistos	4.9
203	141	Oedipus Tyrannus	angelos	5.0
212	142	Oedipus at Colonus	kreon	5.0
113	143	Iphigenia in Tauris	angelos	5.0
142	144	Heracles	theseus	5.1
49	145	Agamemnon	aigisthos	5.1
132	146	Ion	prophetis	5.1
176	147	Bacchae	angelos	5.2
82	148	Rhesus	heniochos	5.2
190	149	Trachiniae	herakles	5.2
195	150	Philoctetes	emporos	5.2
157	151	Hecuba	odysseus	5.3
137	152	Heracles	lykos	5.3
59	153	The Trojan Women	menelaos	5.3
60	154	The Trojan Women	helene	5.3
133	155	Ion	athena	5.4
34	156	Libation Bearers	aigisthos	5.4
184	157	Trachiniae	lichas	5.5
89	158	Phoenissae	eteokles	5.5
116	159	Iphigenia in Aulis	presbytes	5.5
15	160	Seven Against Thebes	keryx	5.6
129	161	Ion	xouthos	5.6
93	162	Phoenissae	angelos	5.6
188	163	Trachiniae	trophos	5.6
30	164	Libation Bearers	elektra	5.6
226	165	Electra	chrysothemis	5.7
183	166	Trachiniae	angelos	5.7
210	167	Oedipus at Colonus	ismene	5.7
234	168	Antigone	haimon	5.7
159	169	Hecuba	therapaina	5.7
235	170	Antigone	teiresias	5.8
169	171	Electra	dioskoyroi	5.8
70	172	Suppliants	athena	5.8
213	173	Oedipus at Colonus	polyneikes	5.8
66	174	Suppliants	angelos	5.8
178	175	Bacchae	agaue	5.9
74	176	Rhesus	dolon	5.9
172	177	Bacchae	teiresias	5.9
81	178	Rhesus	alexandros	6.0
147	179	Helen	graus	6.0
35	180	Libation Bearers	pylades	6.1
42	181	Eumenides	propompoi	6.1
114	182	Iphigenia in Tauris	athena	6.1
201	183	Oedipus Tyrannus	teiresias	6.2
53	184	The Trojan Women	hemichorion_a	6.2
33	185	Libation Bearers	trophos	6.3
228	186	Electra	aigisthos	6.3
244	187	Ajax	angelos	6.3
68	188	Suppliants	iphis	6.4
43	189	Agamemnon	phylax	6.4
94	190	Phoenissae	oidipous	6.4
149	191	Helen	theonoe	6.4
236	192	Antigone	angelos	6.5
124	193	Iphigenia in Aulis	angelos	6.5
130	194	Ion	presbytes	6.5
96	195	Orestes	helene	6.5
14	196	Seven Against Thebes	ismene	6.5
205	197	Oedipus Tyrannus	exangelos	6.6
76	198	Rhesus	angelos	6.6
54	199	The Trojan Women	hemichorion_b	6.7
83	200	Rhesus	mousa	6.7
204	201	Oedipus Tyrannus	therapon	6.7
187	202	Trachiniae	hemichorion	6.7
185	203	Trachiniae	hemichorion_1	6.7
245	204	Ajax	hemichorion_1	6.7
100	205	Orestes	tyndareos	6.8
140	206	Heracles	lyssa	6.8
238	207	Antigone	exangelos	6.9
111	208	Iphigenia in Tauris	boukolos	6.9
67	209	Suppliants	euadne	6.9
73	210	Rhesus	aineias	7.0
158	211	Hecuba	talthybios	7.0
167	212	Electra	angelos	7.1
246	213	Ajax	hemichorion_2	7.1
139	214	Heracles	iris	7.2
91	215	Phoenissae	teiresias	7.3
118	216	Iphigenia in Aulis	menelaos	7.4
208	217	Oedipus at Colonus	xenos	7.4
175	218	Bacchae	therapon	7.4
198	219	Oedipus Tyrannus	hiereus	7.4
186	220	Trachiniae	hemichorion_2	7.4
104	221	Orestes	ermione	7.4
88	222	Phoenissae	polyneikes	7.5
239	223	Ajax	athena	7.6
237	224	Antigone	eurydike	7.6
141	225	Heracles	angelos	7.7
151	226	Helen	therapon	7.7
152	227	Helen	dioskoroi	7.7
248	228	Ajax	menelaos	7.8
125	229	Ion	hermes	7.8
50	230	The Trojan Women	poseidon	7.9
119	231	Iphigenia in Aulis	angelos_a	7.9
177	232	Bacchae	angelos_b	7.9
214	233	Oedipus at Colonus	angelos	8.0
153	234	Hecuba	polydorou_eidolon	8.0
120	235	Iphigenia in Aulis	xorosandronargeion	8.2
75	236	Rhesus	angelos_poimen	8.3
51	237	The Trojan Women	athena	8.3
249	238	Ajax	agamemnon	8.4
144	239	Helen	teukros	8.4
106	240	Orestes	apollon	8.5
92	241	Phoenissae	menoikeus	8.6
105	242	Orestes	phryx	8.6
69	243	Suppliants	paides	8.7
189	244	Trachiniae	presbys	9.1
102	245	Orestes	angelos	9.4
180	246	Trachiniae	therapaina	9.4
77	247	Rhesus	resos	9.6
85	248	Phoenissae	paidagogos	9.7
103	249	Orestes	hemichoros	9.7
