dramatist,title,speaker,gender
Aeschylus,Πέρσαι,Ἄγγελος,m
Aeschylus,Πέρσαι,Ξέρξης,m
Aeschylus,Πέρσαι,Εἴδωλον  Δαρείου,m
Aeschylus,Πέρσαι,Δαρεῖος,m
Aeschylus,Πέρσαι,Ἄτοσσα,f
Aeschylus,Πέρσαι,Χορός,m
Aeschylus,Ἀγαμέμνων,Αἴγισθος,m
Aeschylus,Ἀγαμέμνων,Κασάνδρα,f
Aeschylus,Ἀγαμέμνων,Φύλαξ,m
Aeschylus,Ἀγαμέμνων,Κῆρυξ,m
Aeschylus,Ἀγαμέμνων,Κλυταιμήστρα,f
Aeschylus,Ἀγαμέμνων,Ἀγαμέμνων,m
Aeschylus,Ἀγαμέμνων,Χορός,m
Aeschylus,Χοηφóρoι,Χορός,f
Aeschylus,Χοηφóρoι,Οἰκέτης,f
Aeschylus,Χοηφóρoι,Κλυταιμνήστρα,f
Aeschylus,Χοηφóρoι,Ἠλέκτρα,f
Aeschylus,Χοηφóρoι,Αἴγισθος,m
Aeschylus,Χοηφóρoι,Πυλάδης,m
Aeschylus,Χοηφóρoι,Τροφός,f
Aeschylus,Χοηφóρoι,Ὀρέστης,m
Aeschylus,Εὐμενίδες,Κλυταιμήστρας Εἴδωλον,f
Aeschylus,Εὐμενίδες,Πυθιάς,f
Aeschylus,Εὐμενίδες,Ἀθηνᾶ,f
Aeschylus,Εὐμενίδες,Ὀρέστης,m
Aeschylus,Εὐμενίδες,Ἀπόλλων,m
Aeschylus,Εὐμενίδες,Χορος,f
Aeschylus,Εὐμενίδες,Προπομποί,m
Aeschylus,Εὐμενίδες,Χορός,f
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Ἐτεοκλής,m
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Κῆρυξ,m
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Ἄγγελος,m
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Ἡμιχόριον Β,f
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Ἀντιγόνη,f
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Χορός,f
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Ἡμιχόριον Α,f
Aeschylus,Ἑπτὰ ἐπὶ Θήβας,Ἰσμήνη,f
Aeschylus,Προμηθεὺς δεσμώτης,Ἑρμῆς,m
Aeschylus,Προμηθεὺς δεσμώτης,Ὠκεανός,m
Aeschylus,Προμηθεὺς δεσμώτης,Κράτος,m
Aeschylus,Προμηθεὺς δεσμώτης,Χορός,f
Aeschylus,Προμηθεὺς δεσμώτης,Ἰώ,f
Aeschylus,Προμηθεὺς δεσμώτης,Προμηθεύς,m
Aeschylus,Προμηθεὺς δεσμώτης,Ἥφαιστος,m
Aeschylus,Ἱκέτιδες,Χορός,f
